geo_point_2d,fenomeno,taxonomia,intensidad,alcaldia,int2
"19.3744762078,-99.0112852935",Socio Organizativo,N/D,Alto,Iztapalapa,4.0
"19.4270063569,-99.1584330386",Geológicos,Sísmico,Muy Alto,Cuauhtémoc,5.0
"19.4270394124,-99.0609293539",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.4459550832,-99.0910792047",Geológicos,Sísmico,Muy Alto,Venustiano Carranza,5.0
"19.3400224,-99.1120236498",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.3877260205,-99.085500147",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.3976542483,-99.0739536878",Geológicos,Sísmico,Muy Alto,Iztacalco,5.0
"19.3442139937,-99.0444216641",Geológicos,Sísmico,Alto,Iztapalapa,4.0
"19.4815208892,-99.1772238378",Hidrometeorológicos,Inundaciones,Muy Alto,Azcapotzalco,5.0
"19.4602164584,-99.1022158207",Hidrometeorológicos,Inundaciones,Muy Alto,Gustavo A. Madero,5.0
"19.2874644522,-99.1237269658",Geológicos,Sísmico,Muy Alto,Tlalpan,5.0
"19.3165461883,-99.0812231707",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.2566731798,-99.0200942147",Hidrometeorológicos,Inundaciones,Alto,Xochimilco,4.0
"19.3611900821,-99.1357387599",Hidrometeorológicos,Inundaciones,Muy Alto,Iztapalapa,5.0
"19.2988961939,-99.0787218045",Geológicos,Sísmico,Muy Alto,Iztapalapa,5.0
"19.4633685417,-99.1162502727",Geológicos,Sísmico,Muy Alto,Gustavo A. Madero,5.0
"19.4728710837,-99.170831054",Hidrometeorológicos,Inundaciones,Muy Alto,Azcapotzalco,5.0
"19.2408492236,-99.0552472832",Socio Organizativo,N/D,Muy Alto,Xochimilco,5.0
"19.4872287283,-99.1767049289",Geológicos,Sísmico,Alto,Azcapotzalco,4.0
"19.5186207877,-99.1583056013",Geológicos,Sísmico,Alto,Gustavo A. Madero,4.0
